"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","0","34","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","0","874","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","0","145","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","0","47","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","0","24","1","0.000000","0","0"
"/Game/Environment/M_Cube.M_Cube","16","0","12","1","0.000000","0","0"
"/Game/Environment/AntiAliasedTextMaterialTranslucent_Glow.AntiAliasedTextMaterialTranslucent_Glow","16","0","34","1","0.000000","0","0"
"/Game/Effects/M_wind_swirl_02.M_wind_swirl_02","16","0","30","1","0.000000","0","0"
"/Game/Effects/m_flare_03.m_flare_03","16","0","24","1","0.000000","0","0"
"/Game/Effects/gold_ore_effect.gold_ore_effect","16","0","40","1","0.000000","0","0"
"/Game/Effects/Coin2.Coin2","16","0","40","1","0.000000","0","0"
"/Game/Materials/M_ball.M_ball","16","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeCam_mat.MatineeCam_mat","16","0","12","1","0.000000","0","0"
"/Game/Materials/SpawnBox_M.SpawnBox_M","16","0","31","1","0.000000","0","0"
"/Game/Characters/DwarfGrunt/Materials/M_Dwarf_Grunt.M_Dwarf_Grunt","16","0","36","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","0","2","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","16","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","0","72","6","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","0","594","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","0","123","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","0","60","2","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","0","17","1","0.000000","0","0"
"/Game/Weapon/M_Projectile.M_Projectile","16","0","12","1","0.000000","0","0"
"/Game/Character/M_PlayerArms.M_PlayerArms","16","0","36","1","0.000000","0","0"
"/Game/Weapon/M_FPGun.M_FPGun","16","0","36","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","0","18","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","0","8","1","0.000000","0","0"
"/Game/Environment/M_BlockoutSimple.M_BlockoutSimple","16","0","42","2","0.000000","0","0"
"/Game/Effects/Materials/M_Burst.M_Burst","16","0","30","1","0.000000","0","0"
"/Game/Effects/Materials/M_explosion_subUV.M_explosion_subUV","16","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","16","0","32","1","0.000000","0","0"
"/Game/Effects/Materials/M_radial_ramp.M_radial_ramp","16","0","32","1","0.000000","0","0"
"/Game/Effects/Materials/M_smoke_subUV.M_smoke_subUV","16","0","84","1","0.000000","0","0"
"/Game/Effects/M_single_ray_01.M_single_ray_01","16","0","30","1","0.000000","0","0"
"/Game/Effects/gold_ore_circle2.gold_ore_circle2","16","0","24","1","0.000000","0","0"
"/Game/Challenges/LaunchPad/M_LaunchPAd.M_LaunchPAd","16","0","28","1","0.000000","0","0"
"/Game/Challenges/LaunchPad/M_LaunchPadBase.M_LaunchPadBase","16","0","12","1","0.000000","0","0"
